Wavelength (nm),%T,
879.2000122,0.0302816797,
879.0999756,0.03194769844,
879,0.03230232,
878.9000244,0.033349704,
878.7999878,0.03249438107,
878.7000122,0.03109994344,
878.5999756,0.03352734819,
878.5,0.03345316648,
878.4000244,0.03426005691,
878.2999878,0.0359814167,
878.2000122,0.03321970254,
878.0999756,0.03561127558,
878,0.03857221827,
877.9000244,0.0341732949,
877.7999878,0.03568408638,
877.7000122,0.03671760857,
877.5999756,0.04142553732,
877.5,0.03787868842,
877.4000244,0.03700834885,
877.2999878,0.03983746469,
877.2000122,0.03734107688,
877.0999756,0.04093380645,
877,0.03785680607,
876.9000244,0.03744081035,
876.7999878,0.03763471171,
876.7000122,0.04087100551,
876.5999756,0.04040819779,
876.5,0.04283044487,
876.4000244,0.04395180568,
876.2999878,0.04306750372,
876.2000122,0.04185432196,
876.0999756,0.04355004057,
876,0.04708367214,
875.9000244,0.04227973148,
875.7999878,0.04359089211,
875.7000122,0.0430024676,
875.5999756,0.04619829357,
875.5,0.04792670161,
875.4000244,0.0471907407,
875.2999878,0.04687151685,
875.2000122,0.05147316679,
875.0999756,0.0509271808,
875,0.05056443065,
874.9000244,0.05203120038,
874.7999878,0.0519297719,
874.7000122,0.05304545164,
874.5999756,0.0532457158,
874.5,0.05517056584,
874.4000244,0.05597369745,
874.2999878,0.05688614398,
874.2000122,0.05661778897,
874.0999756,0.05947547778,
874,0.05676979199,
873.9000244,0.05847992003,
873.7999878,0.05817137286,
873.7000122,0.05786285549,
873.5999756,0.05933524296,
873.5,0.06102304161,
873.4000244,0.06010235474,
873.2999878,0.06439181417,
873.2000122,0.06576072425,
873.0999756,0.06762811542,
873,0.06705049425,
872.9000244,0.06860458851,
872.7999878,0.06837914884,
872.7000122,0.0716599524,
872.5999756,0.07451470941,
872.5,0.07312580943,
872.4000244,0.07508414239,
872.2999878,0.07745137066,
872.2000122,0.07661480457,
872.0999756,0.07903125137,
872,0.08063174039,
871.9000244,0.07748889923,
871.7999878,0.08255177736,
871.7000122,0.08335825056,
871.5999756,0.08603588492,
871.5,0.0862364769,
871.4000244,0.08820708841,
871.2999878,0.08771963418,
871.2000122,0.08802130818,
871.0999756,0.09538978338,
871,0.09672471136,
870.9000244,0.09621034563,
870.7999878,0.09749163687,
870.7000122,0.1005553529,
870.5999756,0.1024649739,
870.5,0.1057725027,
870.4000244,0.1096337214,
870.2999878,0.1095434427,
870.2000122,0.1123515517,
870.0999756,0.1161419451,
870,0.118350938,
869.9000244,0.1171603203,
869.7999878,0.1205017567,
869.7000122,0.1220682785,
869.5999756,0.1239407361,
869.5,0.1342879534,
869.4000244,0.1378020793,
869.2999878,0.1363804042,
869.2000122,0.1428703964,
869.0999756,0.1456329823,
869,0.146710664,
868.9000244,0.1511509567,
868.7999878,0.1530243456,
868.7000122,0.1568087041,
868.5999756,0.1633229554,
868.5,0.1687334925,
868.4000244,0.1737399697,
868.2999878,0.1750059277,
868.2000122,0.1824015826,
868.0999756,0.1868567616,
868,0.1918316185,
867.9000244,0.19976601,
867.7999878,0.2002282292,
867.7000122,0.2045187205,
867.5999756,0.2152212858,
867.5,0.2236789763,
867.4000244,0.2260950208,
867.2999878,0.232768774,
867.2000122,0.2370703518,
867.0999756,0.2426129282,
867,0.2542794049,
866.9000244,0.2617810071,
866.7999878,0.2710464895,
866.7000122,0.278931886,
866.5999756,0.2863577902,
866.5,0.2903489172,
866.4000244,0.3047551811,
866.2999878,0.315023154,
866.2000122,0.3239498734,
866.0999756,0.3324173987,
866,0.3478888869,
865.9000244,0.3538389802,
865.7999878,0.3685681224,
865.7000122,0.38013044,
865.5999756,0.3904815614,
865.5,0.3996027708,
865.4000244,0.4150140584,
865.2999878,0.4283778369,
865.2000122,0.4427037537,
865.0999756,0.462092787,
865,0.4691828489,
864.9000244,0.4802721143,
864.7999878,0.4941106737,
864.7000122,0.5159964561,
864.5999756,0.5199658275,
864.5,0.5411940813,
864.4000244,0.5475730896,
864.2999878,0.5707448125,
864.2000122,0.580381453,
864.0999756,0.5932997465,
864,0.6057319641,
863.9000244,0.6186707616,
863.7999878,0.6268511415,
